Customer_ID,Age,Gender,Income_Level,Marital_Status,Education_Level,Occupation,Location,Purchase_Category,Currency,Purchase_Amount,Frequency_of_Purchase,Purchase_Channel,Brand_Loyalty,Product_Rating,Time_Spent_on_Product_Research(hours),Social_Media_Influence,Discount_Sensitivity,Return_Rate,Customer_Satisfaction,Engagement_with_Ads,Device_Used_for_Shopping,Payment_Method,Time_of_Purchase,Discount_Used,Customer_Loyalty_Program_Member,Purchase_Intent,Shipping_Preference,Time_to_Decision_Hours,Discount (%)
89-194-0596,33,Female,High,Married,Bachelor's,Middle,Marseille,Gardening & Outdoors,USD,$427.48,6,Online,4,2,0,None,Very Sensitive,2,7,None,Smartphone,Other,12/16/2024,TRUE,FALSE,Planned,Express,11,15
87-418-1400,39,Male,Middle,Widowed,Bachelor's,High,Taoyuan,Clothing,USD,$171.61,3,In-Store,4,4,1,Medium,Very Sensitive,0,5,None,Desktop,Cash,10/31/2024,FALSE,TRUE,Need-based,Standard,8,30
44-674-4037,33,Male,Middle,Divorced,Bachelor's,Middle,Punta Gorda,Mobile Accessories,USD,$240.28,3,In-Store,1,4,0.5,Low,Not Sensitive,0,4,High,Desktop,paypal,12/7/2024,TRUE,FALSE,Planned,Express,4,30
03-827-4021,39,Male,High,Divorced,Bachelor's,Middle,Moate,Groceries,USD,$310.17,6,Mixed,1,2,0,High,Not Sensitive,2,1,High,Tablet,Cash,2/24/2024,FALSE,FALSE,Impulsive,Standard,13,20
05-506-7216,36,Male,High,Single,Bachelor's,Middle,Don Carlos,Animal Feed,USD,$166.00,10,Online,2,2,0,Low,Very Sensitive,1,1,Low,Smartphone,Credit Card,6/11/2024,FALSE,FALSE,Planned,Express,5,30
07-751-9620,23,Polygender,Middle,Widowed,Bachelor's,High,Ferreira do Alentejo,Software & Apps,USD,$362.01,2,Mixed,1,5,0,Medium,Very Sensitive,0,7,Low,Tablet,Debit Card,11/24/2024,FALSE,FALSE,Planned,No Preference,1,15
18-655-3670,29,Male,Middle,Widowed,High School,High,ProstÅ™ednÃ­ BeÄva,Office Supplies,USD,$348.50,3,In-Store,2,1,0.5,Medium,Not Sensitive,2,2,Low,Tablet,Credit Card,7/9/2024,FALSE,FALSE,Planned,No Preference,8,30
87-056-8987,49,Agender,High,Widowed,High School,Middle,Negeriagung,Groceries,USD,$395.97,9,In-Store,5,3,0,Medium,Very Sensitive,1,1,Low,Desktop,Credit Card,8/18/2024,FALSE,FALSE,Wants-based,Standard,1,10
66-050-6391,45,Female,Middle,Single,Master's,High,TecpÃ¡n Guatemala,Sports & Outdoors,USD,$474.99,9,Online,2,1,0,None,Very Sensitive,1,10,None,Tablet,Other,7/10/2024,FALSE,FALSE,Planned,Express,5,25
00-520-4376,50,Male,High,Widowed,Bachelor's,Middle,Harembo,Beauty & Personal Care,USD,$286.43,4,In-Store,5,5,1,Low,Somewhat Sensitive,0,10,None,Desktop,credit card,7/12/2024,TRUE,FALSE,Planned,No Preference,14,5
15-625-4047,39,Male,Middle,Single,Master's,Middle,La UniÃ³n,Groceries,USD,$333.32,8,Online,1,2,1,High,Very Sensitive,2,2,None,Tablet,Cash,10/5/2024,TRUE,TRUE,Impulsive,No Preference,3,0
18-925-1867,23,Female,High,Married,Bachelor's,High,GarÃ§a,Toys & Games,USD,$223.47,9,Online,1,5,1,Low,Somewhat Sensitive,0,9,None,Smartphone,Debit Card,9/20/2024,TRUE,TRUE,Planned,Express,8,15
67-639-5838,23,Male,Middle,Married,High School,Middle,Shimorskoye,Packages),USD,$414.83,2,In-Store,4,3,1,Low,Somewhat Sensitive,1,1,Low,Tablet,PayPal,7/16/2024,FALSE,FALSE,Planned,Express,8,10
07-024-4995,27,Bigender,Middle,Widowed,High School,Middle,Holboo,Furniture,USD,$391.38,5,In-Store,1,4,2,High,Very Sensitive,0,4,None,Tablet,cash,4/2/2024,FALSE,TRUE,Wants-based,Express,8,0
06-160-8063,21,Bigender,Middle,Divorced,High School,High,Latacunga,Sports & Outdoors,USD,$368.40,11,Online,5,3,2,Low,Not Sensitive,1,9,None,Desktop,Credit Card,6/21/2024,FALSE,FALSE,Planned,Express,13,0
82-572-9091,46,Female,Middle,Widowed,High School,Middle,MrÄ…gowo,Travel & Leisure (Flights,USD,$328.36,11,In-Store,5,5,2,Low,Not Sensitive,1,8,High,Desktop,Other,3/11/2024,TRUE,TRUE,Need-based,Express,4,0
69-157-9577,41,Male,High,Divorced,Master's,High,Paisha,Toys & Games,USD,$424.39,9,Mixed,3,4,1,None,Somewhat Sensitive,1,9,High,Desktop,Credit Card,2/26/2024,TRUE,TRUE,Need-based,No Preference,13,15
64-799-3174,46,Male,Middle,Divorced,Master's,Middle,Buzen,Travel & Leisure (Flights,USD,$197.12,10,In-Store,1,5,0,Medium,Somewhat Sensitive,2,7,None,Smartphone,PayPal,6/14/2024,FALSE,FALSE,Wants-based,No Preference,10,0
18-938-9896,44,Female,Middle,Widowed,High School,High,Åeba,Packages),USD,$454.57,9,In-Store,3,4,1,Medium,Very Sensitive,0,6,None,Smartphone,Other,3/24/2024,TRUE,TRUE,Impulsive,No Preference,1,25
29-827-8515,40,Female,High,Widowed,Bachelor's,High,Xidianzi,Electronics,USD,$298.38,4,Online,5,1,1,High,Very Sensitive,0,10,None,Tablet,Cash,4/27/2024,FALSE,FALSE,Need-based,No Preference,3,25
41-934-7739,45,Genderfluid,Middle,Divorced,High School,High,Campo Maior,Jewelry & Accessories,USD,$111.70,6,In-Store,4,3,2,High,Very Sensitive,2,6,Medium,Smartphone,Other,11/7/2024,TRUE,TRUE,Wants-based,Express,7,20
08-614-6177,32,Male,Middle,Widowed,Master's,Middle,Sungai Raya,Home Appliances,USD,$373.69,10,In-Store,5,1,1,Low,Very Sensitive,0,1,Medium,Tablet,Credit Card,12/4/2024,FALSE,TRUE,Planned,Express,14,20
19-999-0134,30,Male,Middle,Widowed,Bachelor's,Middle,Hongqi,Health Care,USD,$354.87,5,Online,2,3,2,Medium,Very Sensitive,0,1,Low,Tablet,Credit Card,4/18/2024,FALSE,TRUE,Impulsive,No Preference,12,25
95-999-0984,33,Male,High,Divorced,Bachelor's,Middle,Nanyaojie,Packages),USD,$214.48,2,In-Store,2,1,1,High,Very Sensitive,2,8,Medium,Tablet,Cash,4/21/2024,TRUE,TRUE,Planned,No Preference,2,30
23-752-2213,36,Male,Middle,Widowed,Master's,Middle,NÃ­kaia,Books,USD,$399.58,6,Online,2,1,2,High,Very Sensitive,1,7,None,Desktop,Other,9/25/2024,FALSE,FALSE,Impulsive,No Preference,7,10
54-877-5699,21,Male,High,Married,Master's,High,Madan,Sports & Outdoors,USD,$380.99,7,Online,5,1,1,Low,Somewhat Sensitive,0,5,Low,Desktop,other,12/9/2024,FALSE,TRUE,Impulsive,No Preference,8,15
09-346-4992,46,Bigender,High,Single,Master's,High,JesÃºs MenÃ©ndez,Electronics,USD,$79.00,10,Mixed,2,1,1,High,Somewhat Sensitive,0,2,None,Tablet,Debit Card,9/14/2024,TRUE,TRUE,Need-based,Standard,7,20
17-213-2834,34,Male,Middle,Single,High School,Middle,Marshintsy,Clothing,USD,$113.88,2,Online,4,3,0,High,Very Sensitive,0,5,Medium,Desktop,Debit Card,3/29/2024,TRUE,FALSE,Planned,No Preference,9,15
75-083-3608,23,Male,Middle,Divorced,Master's,Middle,Hongguang,Sports & Outdoors,USD,$121.57,4,Mixed,2,4,0.5,High,Somewhat Sensitive,2,4,High,Desktop,Credit Card,6/6/2024,FALSE,FALSE,Planned,Express,13,0
91-199-9097,29,Male,High,Married,High School,Middle,TrhovÃ© Sviny,Clothing,USD,$215.54,11,In-Store,4,5,0,Low,Not Sensitive,0,7,None,Desktop,credit card,4/8/2024,FALSE,TRUE,Planned,Express,10,5
84-724-8407,47,Female,High,Divorced,Bachelor's,Middle,Veiga,Jewelry & Accessories,USD,$87.03,10,Online,3,3,1,None,Very Sensitive,2,4,High,Tablet,cash,8/11/2024,TRUE,TRUE,Planned,Express,7,20
53-091-2176,21,Female,High,Widowed,Bachelor's,Middle,BÃ©ziers,Baby Products,USD,$111.75,4,In-Store,4,4,0.3,Low,Somewhat Sensitive,0,5,Medium,Desktop,Cash,10/10/2024,TRUE,TRUE,Impulsive,Standard,8,0
97-505-8416,43,Male,Middle,Married,Bachelor's,Middle,Chamical,Luxury Goods,USD,$136.20,2,Mixed,4,5,0,None,Very Sensitive,1,10,High,Desktop,Credit Card,6/15/2024,FALSE,TRUE,Planned,Standard,9,10
80-360-6324,24,Female,High,Single,Bachelor's,Middle,Foso,Packages),USD,$439.31,4,Online,1,4,2,Medium,Very Sensitive,2,10,None,Desktop,Debit Card,8/11/2024,FALSE,TRUE,Impulsive,Standard,7,20
60-198-5417,27,Female,High,Single,Bachelor's,High,Celso Ramos,Software & Apps,USD,$194.93,9,In-Store,4,2,0,Medium,Somewhat Sensitive,2,7,None,Desktop,Other,3/28/2024,FALSE,FALSE,Need-based,No Preference,5,0
30-839-5589,42,Female,Middle,Married,High School,Middle,Yaodu,Hotels,USD,$377.67,8,In-Store,5,4,1,Low,Not Sensitive,2,2,High,Smartphone,PayPal,5/13/2024,TRUE,TRUE,Planned,No Preference,14,5
63-964-6954,19,Female,High,Married,High School,Middle,Prince Albert,Health Care,USD,$108.61,10,Mixed,2,5,1,Low,Not Sensitive,2,8,High,Smartphone,PayPal,11/23/2024,FALSE,TRUE,Need-based,No Preference,14,0
80-728-6133,47,Male,Middle,Divorced,High School,Middle,Tamorot,Gardening & Outdoors,USD,$366.77,7,Mixed,5,1,2,High,Very Sensitive,1,1,Low,Desktop,paypal,9/18/2024,TRUE,FALSE,Planned,No Preference,1,10
03-623-6767,48,Female,Middle,Single,High School,High,Huancabamba,Toys & Games,USD,$178.04,5,In-Store,3,3,2,High,Somewhat Sensitive,0,7,Low,Tablet,Debit Card,7/16/2024,FALSE,FALSE,Planned,Standard,12,5
66-033-0540,34,Male,High,Widowed,High School,Middle,StÄ›boÅ™ice,Home Appliances,USD,$461.09,8,Online,1,5,1,None,Somewhat Sensitive,1,2,High,Desktop,paypal,8/3/2024,FALSE,TRUE,Planned,No Preference,8,0
61-794-8438,45,Polygender,Middle,Divorced,Bachelor's,Middle,Rakhiv,Health Care,USD,$211.16,5,Online,1,3,2,High,Not Sensitive,2,6,None,Desktop,Cash,6/28/2024,TRUE,TRUE,Impulsive,Standard,2,0
64-490-6975,46,Female,Middle,Married,Bachelor's,Middle,Ahar,Jewelry & Accessories,USD,$421.95,8,Mixed,3,5,2,None,Somewhat Sensitive,2,3,High,Desktop,Credit Card,3/18/2024,TRUE,TRUE,Need-based,No Preference,7,15
87-499-6916,48,Male,Middle,Married,High School,Middle,Ndewel,Food & Beverages,USD,$378.59,5,In-Store,3,2,1,Medium,Very Sensitive,0,6,Medium,Smartphone,Debit Card,10/15/2024,FALSE,TRUE,Wants-based,No Preference,14,10
91-440-0011,50,Female,Middle,Widowed,High School,Middle,Shiree,Sports & Outdoors,USD,$268.93,2,Online,2,4,1,None,Somewhat Sensitive,0,8,High,Desktop,Credit Card,11/23/2024,TRUE,FALSE,Planned,Standard,8,30
43-386-2489,27,Bigender,High,Widowed,High School,Middle,Naghalin,Food & Beverages,USD,$444.87,11,Mixed,3,2,2,None,Somewhat Sensitive,1,4,None,Desktop,PayPal,11/29/2024,TRUE,FALSE,Planned,Standard,7,10
51-302-9537,40,Female,High,Single,Bachelor's,Middle,Cibeusi,Animal Feed,USD,$160.82,7,Mixed,1,5,2,Low,Very Sensitive,1,3,High,Tablet,other,7/9/2024,TRUE,FALSE,Need-based,Express,3,5
89-625-5542,38,Female,Middle,Divorced,Bachelor's,High,MirÃ³w,Electronics,USD,$494.18,6,In-Store,5,4,0,Low,Not Sensitive,2,9,Low,Tablet,Credit Card,8/3/2024,TRUE,TRUE,Wants-based,No Preference,14,30
30-083-9565,37,Male,Middle,Widowed,Master's,High,Bokong Timur,Sports & Outdoors,USD,$177.05,5,Online,3,3,2,None,Very Sensitive,0,2,Low,Smartphone,Cash,12/4/2024,FALSE,FALSE,Impulsive,No Preference,1,20
23-066-1915,23,Female,Middle,Single,Bachelor's,Middle,Jiangcun,Software & Apps,USD,$450.66,7,Mixed,5,5,0,Low,Very Sensitive,1,4,Low,Smartphone,Credit Card,6/13/2024,TRUE,TRUE,Planned,No Preference,9,20
47-178-9529,37,Female,High,Divorced,Master's,Middle,Bida,Jewelry & Accessories,USD,$164.27,6,In-Store,4,4,2,Medium,Not Sensitive,1,4,High,Tablet,debit card,7/13/2024,FALSE,TRUE,Wants-based,No Preference,14,30
07-323-0255,31,Genderfluid,Middle,Married,High School,High,Sakura,Groceries,USD,$346.36,12,Online,2,1,2,High,Somewhat Sensitive,1,6,None,Smartphone,PayPal,9/4/2024,TRUE,TRUE,Wants-based,No Preference,14,20
08-806-0588,25,Male,High,Single,High School,Middle,Al QarÄrah,Health Supplements,USD,$377.77,9,In-Store,2,5,2,High,Somewhat Sensitive,0,4,Medium,Smartphone,Other,8/26/2024,TRUE,FALSE,Impulsive,Express,3,15
20-699-9217,28,Female,High,Married,High School,Middle,San Juan del Cesar,Packages),USD,$163.41,2,Mixed,1,4,0,High,Not Sensitive,1,9,Medium,Smartphone,Debit Card,2/25/2024,FALSE,TRUE,Impulsive,Standard,4,25
87-590-8963,45,Female,High,Married,Master's,High,Peer,Baby Products,USD,$467.58,10,In-Store,1,4,0,High,Not Sensitive,0,7,Medium,Smartphone,Debit Card,4/15/2024,FALSE,TRUE,Need-based,Standard,7,30
49-476-1729,42,Male,High,Single,Master's,Middle,SkÃ³rzec,Travel & Leisure (Flights,USD,$247.51,10,Online,2,5,1,High,Very Sensitive,1,6,None,Tablet,PayPal,7/1/2024,FALSE,FALSE,Planned,Standard,2,20
39-075-3518,27,Male,Middle,Widowed,High School,High,Jaguaruana,Sports & Outdoors,USD,$365.10,3,Mixed,2,5,0,High,Not Sensitive,0,6,Low,Desktop,Other,8/30/2024,FALSE,FALSE,Impulsive,No Preference,1,5
